time,brent
1,79.05
2,79.27
3,80.14
4,80.57
5,80.06
6,80.14
7,79.38
8,77.57
9,77.61
10,76.85
11,75.5975
12,75.18
13,75.09
14,74.13
15,72.73
16,72.18
17,72.63
18,72.75
19,70.65
20,71.2
21,71.58
22,73.94
23,75.77
24,71.3
25,70.11
26,69.62
27,70.4
28,70.4
29,72.35
30,71.49
31,73.9875
32,74.82
33,74.89
34,76.61
35,76.88
36,76.95
37,76.44
38,77
39,74.38
40,76.36
41,76.07
42,77.5
43,78.66
44,77.88
45,79.2
46,78.94
47,78.77
48,80.29
49,79.44
50,79.38
51,77.08
52,79.45
53,80.28
54,80.09
55,78.37
56,78.09
57,79.17
58,78.03
59,78.64
60,77.98
61,79.89
62,79.46
63,80.37
64,82.63
65,83.0925
66,84.48
67,85.05
68,84.49
69,82.63
70,82.77
71,85.21
72,83.44
73,85.81
74,86.9
75,84.81
76,83.09
77,84.73
78,84.55
79,84.58
80,86.09
81,86.72
82,85.59
83,84.59
84,86.82
85,86.19
86,88.09
87,85.39
88,82.31
89,80.21
90,76.48
91,78.08
92,79
93,78.7
94,79.41
95,76.43
96,73.87
97,75.12
98,71.86
99,69.56
100,70.45
101,69.62
102,67.18
103,70.59
104,73.56
105,73
106,73.06
107,73.08
108,72.78
109,73.12
110,71.84
111,71.09
112,71.43
113,73.68
114,74.33
115,73.28
116,75.11
117,75.29
118,76.12
119,77.52
120,77.05
121,78.53
122,78.08
123,75.22
124,75.17
125,76.21
126,76.66
127,74.21
128,74.94
129,71.73
130,71.75
131,72.7475
132,73.08
133,72.97
134,74.56
135,75.2
136,74.35
137,76.45
138,76.63
139,75.52
140,75.55
141,76.29
142,76.31
143,75.75
144,77.59
145,77.27
146,77.9
147,75.52
148,76.66
149,78.6
150,77.5
151,81.93
152,83.6
153,83.76
154,82.9
155,81.28
156,81.54
157,79.89
158,77.83
159,76.63
160,75.14
161,74.56
162,76.74
163,75.1
164,74.84
165,73.48
166,73.08
167,70.61
168,70.74
169,74.5
170,75.16
171,76.05
172,75.51
173,75.53
174,74.93
175,75.03
176,75.5925
177,75.78
178,77.48
179,77.87
180,77.54
181,78.52
182,78.89
183,78.46
184,78.89
185,77.43
186,79.42
187,78.76
188,77.29
189,77.69
190,78.73
191,77.71
192,79.14
193,78.79
194,80.77
195,82.69
196,83.42
197,83.35
198,85.01
199,83.67
200,83.88
201,83.08
202,82.99
203,84.01
204,83.55
205,81.94
206,82.3
207,81.12
208,81.68
209,81.28
210,80.75
211,81.91
212,82.62
213,81.27
214,82.97
215,82.47
216,84.06
217,84.71
218,85.33
219,86.83
220,87.05
221,87.15
222,87.93
223,87.92
224,88.08
225,86.07
226,85.49
227,83.98
228,83.36
229,83.7
230,83.17
231,82.34
232,82.37
233,84.53
234,84.655
235,84.78
236,85.9
237,86.02
238,88.56
239,89.37
240,90.65
241,91.25
242,90.78
243,89.74
244,89.93
245,89.54
246,90.4
247,90.63
248,91.33
249,91.09
250,91.11
251,91.31
252,93.11
253,93.55
254,93.63
255,93.4925
256,93.08
257,93.52
258,93.52
259,92.5
260,93.23
261,95.82
262,93.52
263,95.07
264,94.95
265,94.25
266,95.05
267,96.8
268,97.86
269,97.86
270,97.86
271,97.8375
272,97.83
273,98.42
274,96.27
275,96.84
276,96.76
277,96.76
278,96.04
279,96.48
280,97.06
281,98.97
282,100.4
283,101.3
284,101.69
285,99.43
286,99.44
287,99.25
288,100.16
289,100.74
290,99.93
291,103.12
292,102.48
293,102.78
294,103.45
295,102.2
296,105.665
297,106.82
298,109.77
299,113.91
300,111.47
301,112.27
302,113.34
303,116.89
304,114.42
305,115.71
306,116.58
307,112.32
308,115.19
309,114.07
310,114.07
311,112.95
312,111.11
313,110.96
314,114.18
315,114.13
316,114.92
317,115.63
318,115.65
319,115.41
320,115.45
321,115.95
322,115.58
323,115.35
324,116.94
325,118.63
326,120.07
327,122.87
328,123.01
329,122.9
330,126.3
331,126.46
332,121.33
333,122.7
334,122.74
335,124.63
336,121.69
337,121.35
338,124.26
339,123.64
340,123.822
341,124.368
342,124.55
343,124.94
344,126.59
345,126.6025
346,126.64
347,124.01
348,121.55
349,111.93
350,113.69
351,113.21
352,117.82
353,115.66
354,112.87
355,113.08
356,113.72
357,109.39
358,112.54
359,113.2
360,111.25
361,110.13
362,112.52
363,114.47
364,115.06
365,114.85
366,116.5975
367,117.18
368,116.15
369,114.3
370,115.09
371,115.4
372,116.14
373,118.43
374,119.95
375,118.71
376,120.49
377,120.35
378,114.67
379,114.69
380,113.74
381,112.21
382,112.02
383,113.59
384,108.27
385,104.79
386,104.57
387,107.57
388,111.49
389,111.71
390,109.82
391,112.3625
392,113.21
393,113.55
394,117.4
395,117.4
396,117.35
397,117.36
398,118.46
399,117.38
400,118.06
401,117.05
402,118.18
403,118.52
404,118.25
405,118.99
406,118.27
407,118.14
408,117.99
409,118.16
410,115.93
411,116.37
412,116.02
413,113.74
414,110.22
415,106.92
416,103.06
417,103.63
418,103.84
419,107.82
420,108.17
421,108.89
422,109.69
423,111.37
424,108.36
425,109.37
426,108.83
427,110.35
428,111.91
429,111.91
430,112.29
431,114.765
432,115.59
433,116.48
434,116.43
435,115.92
436,113.9475
437,113.29
438,117.5
439,117.99
440,115.1
441,114.75
442,114.08
443,113.1
444,116.71
445,116.26
446,112.89
447,114.39
448,114.26
449,109.21
450,109.17
451,107.9
452,109.54
453,108.52
454,107.08
455,105.42
456,103.61
457,101.84
458,103.77
459,104.38
460,106.56
461,109.49
462,109.22
463,112.44
464,112.45
465,114.33
466,112.92
467,112.08
468,111.76
469,109
470,111.6
471,111.67
472,112.11
473,110.43
474,112.45
475,110.01
476,108.43
477,106.97
478,110.82
479,110.76
480,112.22
481,114.75
482,115.61
483,115.29
484,113.32
485,114.43
486,112.57
487,111.9
488,111.91
489,109.25
490,107.82
491,105.98
492,107.77
493,106.83
494,106.455
495,106.08
496,109.38
497,111.25
498,111.22
499,108.83
500,109.59
501,110.18
502,110.16
503,110.07
504,108.23
505,107.91
506,107.82
507,109.25
508,105.72
509,104.52
510,104
511,104.55
512,107.8
513,108
514,108.98
515,109.28
516,108.236
517,107.888
518,107.54
519,106.89
520,108.09
521,110.3625
522,111.12
523,113.37
524,113.59
525,111.96
526,111.07
527,113.3
528,111.66
529,112.97
530,109.88
531,110.3825
532,110.55
533,109.81
534,109.54
535,108.5
536,109.46
537,108.38
538,108.48
539,109.08
540,110.5
541,110.24
542,110.26
543,111.96
544,110.96
545,112.56
546,115.47
547,116.86
548,117.18
549,118.4
550,118.13
551,118.73
552,118.3
553,120.25
554,121
555,120.69
556,120.81
557,120.85
558,123.07
559,124.53
560,124.89
561,126.46
562,124.02
563,122.23
564,125.76
565,125.93
566,126.68
567,125.03
568,125.37
569,127.96
570,128.08
571,127.27
572,128.14
573,126.98
574,123.63
575,125.09
576,125.76
577,124.38
578,123.89
579,122.49
580,125.21
581,125.85
582,125.25
583,124.41
584,123.23
585,123.41
586,124.44
587,123.74
588,123.04
589,123.58
590,123.242
591,122.228
592,121.89
593,120.41
594,120.57
595,120.62
596,118.23
597,117.41
598,115.18
599,117
600,118.08
601,116.66
602,117.74
603,117.45
604,119.33
605,119.3
606,118.66
607,119.57
608,117.57
609,115.91
610,111.66
611,110.775
612,110.48
613,111.89
614,112.24
615,112.5
616,110.79
617,111.4
618,109.8
619,109.31
620,108.03
621,109.02
622,109.76
623,106.88
624,107.2
625,107.86
626,107.6275
627,107.55
628,103.85
629,103.86
630,98.63
631,97.74
632,98.65
633,101.14
634,100.05
635,97.57
636,98.6
637,96.59
638,97.29
639,96.46
640,97.13
641,95.21
642,95.14
643,93.5
644,89.22
645,89.22
646,88.69
647,90.19
648,92.06
649,91.02
650,94.17
651,95.28
652,99.89
653,100.715
654,101.54
655,98.5
656,99.94
657,99.15
658,99.23
659,99.18
660,101.91
661,102.1
662,104.21
663,105.92
664,107.79
665,106.98
666,103.91
667,103.57
668,102.35
669,104.77
670,106.3
671,106.54
672,105.93
673,106.78
674,107.55
675,109.57
676,110.01
677,112.39
678,113.42
679,113.52
680,113.13
681,114.48
682,113.9
683,115.51
684,116.12
685,115.2
686,115.5
687,116.03
688,115.77
689,117.45
690,115.76
691,113.74
692,112.62
693,112.53
694,112.28
695,113.93
696,114.7175
697,114.98
698,113.32
699,114.5
700,113.64
701,113.84
702,114.86
703,114.86
704,116
705,117.48
706,116.7
707,113.29
708,108.49
709,109.41
710,111.27
711,109.2
712,110.77
713,108.99
714,111.45
715,111.36
716,112.58
717,112.49
718,109.32
719,110.48
720,112.17
721,112.6
722,114.32
723,116.11
724,116.18
725,115.17
726,115
727,115
728,113.49
729,112.58
730,111.89
731,109.62
732,107.53
733,107.66
734,107.64
735,108.9
736,109.33
737,109.4
738,109.89
739,108.84
740,106.79
741,105.59
742,109.27
743,108.21
744,107.23
745,108.61
746,110.23
747,108.82
748,109.66
749,110.07
750,106.81
751,110.06
752,110.01
753,110.81
754,110.475
755,110.14
756,110.18
757,109.33
758,108.26
759,110.47
760,110.84
761,111.27
762,109.99
763,108.96
764,108.01
765,107.16
766,108.25
767,107.6
768,110.17
769,110.18
770,109.28
771,109.35
772,109.96
773,109.95
774,110.57
775,109.13
776,108.44
777,109.58
778,110.72
779,110.04
780,110.05
781,110.8
782,111.89
783,112.98
784,113.03
785,112.58
786,112.49
787,113.03
788,113.07
789,112.97
790,110.3
791,111.32
792,111.72
793,110.97
794,111.01
795,111.71
796,112.4675
797,112.72
798,113.68
799,114.59
800,113.88
801,113.92
802,115.22
803,115.42
804,115.55
805,115.55
806,116.06
807,117.03
808,116.61
809,117.17
810,118.9
811,118.29
812,117.89
813,118.43
814,118.48
815,117.4
816,117.13
817,117.04
818,116.23
819,114.19
820,113.74
821,114.55
822,112.96
823,112.24
824,112.2
825,110.14
826,109.9
827,110.42
828,110.27
829,110.42
830,108.91
831,108.64
832,108.48
833,107.51
834,108.1
835,109.32
836,108.54
837,106.91
838,108.27
839,106.41
840,106.51
841,106.66
842,107.1
843,108.51
844,108.46
845,108.535
846,108.76
847,109.66
848,107.82
849,105.09
850,103.98
851,103.16
852,104.08
853,104.8
854,103.62
855,100.58
856,99.32
857,97.88
858,96.84
859,97.48
860,98.94
861,99.07
862,99.25
863,100.71
864,101.62
865,102.39
866,102.88
867,101.53
868,98.34
869,100.32
870,104.6
871,105
872,105.18
873,103.79
874,103.59
875,101.31
876,102.17
877,102.7
878,101.57
879,104.27
880,103.83
881,104.55
882,103.1
883,102.14
884,100.46
885,101.24
886,103.1375
887,103.77
888,102.14
889,101.79
890,100.43
891,101.63
892,102.04
893,103.51
894,103.37
895,104.07
896,103.87
897,101.5
898,103.11
899,103.38
900,105.1
901,105.8
902,105.21
903,105.56
904,102.72
905,100.36
906,99.8
907,101.51
908,100.62
909,102.74
910,102.49
911,103.19
912,103.96
913,106.12
914,106.79
915,107.46
916,107.75
917,107.9
918,108.43
919,108.18
920,109.03
921,109.05
922,109.29
923,109.67
924,109.71
925,109.34
926,108.82
927,109.27
928,108.23
929,108.1
930,107.57
931,108.1
932,107.47
933,107.89
934,109.94
935,109.63
936,109.81
937,108.77
938,108.39
939,107.32
940,108.49
941,109.28
942,110.69
943,110.26
944,111.58
945,111.82
946,111.41
947,110.74
948,110.82
949,110.51
950,112.12
951,112.23
952,115.21
953,116.27
954,116.91
955,115.97
956,115.61
957,115.49
958,115.65
959,115.81
960,117.15
961,115.2
962,112.1
963,112.37
964,113.11
965,113.31
966,110.86
967,109.05
968,109.09
969,110.66
970,110.22
971,108.56
972,107.68
973,109.46
974,108.86
975,109.45
976,107.85
977,107.32
978,109.09
979,109.49
980,109.42
981,109.66
982,110.56
983,109.02
984,111.63
985,110.65
986,110.13
987,110.67
988,110.79
989,109.55
990,109.4
991,109.47
992,109.57
993,107.74
994,106.63
995,105.7
996,108.29
997,108.04
998,108.41
999,107.53
1000,105.78
1001,104.85
1002,105.01
1003,105.46
1004,103.08
1005,104.29
1006,105.76
1007,106.29
1008,106.9
1009,108.29
1010,108.25
1011,108.8
1012,108.29
1013,108.27
1014,109.9
1015,111.36
1016,110.83
1017,112.04
1018,111.32
1019,111.195
1020,111.07
1021,111.49
1022,113.06
1023,113.27
1024,112.07
1025,111.5
1026,110.07
1027,108.91
1028,109.47
1029,108.99
1030,108.08
1031,110.3
1032,108.91
1033,109.56
1034,110.78
1035,112.15
1036,111.58
1037,111.57
1038,111.61
1039,111.65
1040,112.06
1041,110.47
1042,109.95
1043,108.945
1044,107.94
1045,106.57
1046,106.71
1047,107.01
1048,107.42
1049,107.49
1050,106.44
1051,108.02
1052,107.12
1053,108.09
1054,107.46
1055,108.45
1056,108.01
1057,109.17
1058,109.69
1059,109.69
1060,109.14
1061,108.72
1062,109.1
1063,108.83
1064,109.36
1065,108.16
1066,106.55
1067,107.04
1068,106.81
1069,108.15
1070,110.12
1071,110.18
1072,109.21
1073,108.62
1074,108.98
1075,108.63
1076,109.7625
1077,110.14
1078,110.37
1079,109.42
1080,109.03
1081,109.76
1082,109.19
1083,109.39
1084,108.54
1085,108.98
1086,111.26
1087,109.17
1088,108.15
1089,107.99
1090,109.14
1091,108.27
1092,108.35
1093,107.88
1094,107.48
1095,108.08
1096,106.99
1097,106.79
1098,105.95
1099,105.73
1100,107.2
1101,106.59
1102,107.01
1103,105.9
1104,106.58
1105,106.64
1106,105.95
1107,105.7
1108,103.37
1109,104.88
1110,106.41
1111,104.89
1112,105.83
1113,107.39
1114,107.1
1115,107.34
1116,107.68
1117,109.1
1118,109.71
1119,109.79
1120,109.765
1121,109.69
1122,108.54
1123,108.48
1124,109.79
1125,109.53
1126,109.12
1127,109.89
1128,108.63
1129,108.63
1130,109.48
1131,109.48
1132,108.3
1133,108.17
1134,108.19
1135,108.26
1136,108.37
1137,108.78
1138,109.87
1139,109.74
1140,110.9
1141,110.84
1142,110.35
1143,111.32
1144,110.89
1145,110.19
1146,110.01
1147,109.81
1148,109.09
1149,109.98
1150,109.21
1151,109.34
1152,108.87
1153,109.07
1154,108.43
1155,109.21
1156,110.55
1157,109.18
1158,109.83
1159,112.18
1160,113.15
1161,113.42
1162,114.02
1163,114.25
1164,115.19
1165,114.55
1166,113.62
1167,113.74
1168,112.84
1169,112.61
1170,112.62
1171,111.03
1172,110.84
1173,110.18
1174,108.98
1175,108.91
1176,108.7
1177,107.65
1178,106.84
1179,106.2
1180,105.77
1181,104.73
1182,104.73
1183,105.41
1184,106.04
1185,106.03
1186,105.71
1187,106.48
1188,106.85
1189,105.78
1190,106.89
1191,106.7
1192,106.98
1193,106.47
1194,104.94
1195,103.45
1196,103.63
1197,102.82
1198,104.17
1199,104.02
1200,103.36
1201,103.47
1202,101.68
1203,102.27
1204,101.15
1205,101.13
1206,99.37
1207,99.74
1208,99.92
1209,100.28
1210,100.09
1211,100.49
1212,100.5
1213,100.4
1214,100.71
1215,101.12
1216,100.4375
1217,100.21
1218,100.88
1219,101.21
1220,99.51
1221,99.53
1222,98.08
1223,96.26
1224,96.42
1225,96.31
1226,96.43
1227,97.39
1228,97.7
1229,96.82
1230,96.75
1231,95.37
1232,94.87
1233,94.53
1234,95.2
1235,95.08
1236,95.7
1237,94.67
1238,94.57
1239,91.29
1240,90.8
1241,90.65
1242,90.9
1243,90.25
1244,90.47
1245,88.66
1246,87.82
1247,86.36
1248,84.02
1249,84.02
1250,85.27
1251,84.42
1252,85.17
1253,86.38
1254,85.94
1255,86
1256,85.64
1257,85.57
1258,86.91
1259,85.5
1260,84.17
1261,84.9
1262,82.12
1263,82.88
1264,82.08
1265,83.2
1266,82.9
1267,80.94
1268,80.42
1269,77.74
1270,77.51
1271,76.86
1272,77.23
1273,77.21
1274,77.61
1275,79.2
1276,79.62
1277,77.62
1278,77.39
1279,74.64
1280,71.89
1281,70.87
1282,71.13
1283,70.13
1284,68.48
1285,68
1286,65.64
1287,66.11
1288,63.32
1289,63.65
1290,61.67
1291,61.09
1292,60.26
1293,59.84
1294,58.81
1295,58.87
1296,58.31
1297,59.07
1298,58.67
1299,58.695
1300,58.72
1301,57.86
1302,55.6
1303,55.27
1304,55.325
1305,55.38
1306,51.08
1307,50.12
1308,49.06
1309,49.43
1310,47.64
1311,46.9
1312,45.13
1313,45.82
1314,47.66
1315,47.38
1316,46.7125
1317,46.49
1318,46.5
1319,46.09
1320,46.69
1321,46.07
1322,46.55
1323,47.07
1324,46.61
1325,47.52
1326,51.74
1327,54.41
1328,55.07
1329,55.98
1330,55.88
1331,57
1332,55.79
1333,53.48
1334,56.23
1335,60.33
1336,61.57
1337,60.78
1338,60.72
1339,58.78
1340,60.99
1341,59.78
1342,60.33
1343,59.77
1344,61.39
1345,61.89
1346,60.75
1347,61.18
1348,59.18
1349,60.33
1350,59.15
1351,58.67
1352,55.95
1353,56.46
1354,56.66
1355,54.8
1356,52
1357,52.17
1358,52.59
1359,52.96
1360,53.88
1361,53.82
1362,53.61
1363,54.18
1364,57.02
1365,56.44
1366,53.99
1367,53.69
1368,55.73
1369,55.73
1370,55.73
1371,55.73
1372,57.55
1373,56.42
1374,56.04
1375,56.82
1376,57.14
1377,57.69
1378,59.32
1379,60.13
1380,61.31
1381,61.2
1382,60.12
1383,60.12
1384,62.66
1385,62.96
1386,62.86
1387,62.61
1388,63.97
1389,63.9
1390,64.13
1391,64.62
1392,65.44
1393,66.22
1394,64.93
1395,63.82
1396,62.82
1397,65.09
1398,66.33
1399,65.58
1400,64.69
1401,65.15
1402,63.48
1403,63.52
1404,64.7
1405,64.7
1406,62.4125
1407,61.65
1408,61.35
1409,60.12
1410,63.16
1411,62.87
1412,63.14
1413,62.78
1414,60.34
1415,60.36
1416,61.33
1417,63.23
1418,64.68
1419,63.76
1420,63.19
1421,60.99
1422,60.75
1423,60.75
1424,61.37
1425,59.41
1426,60.54
1427,61.67
1428,61.63
1429,60.24
1430,60.14
1431,59.03
1432,60.31
1433,61.65
1434,61.73
1435,59.06
1436,57.19
1437,54.72
1438,55.7
1439,57.83
1440,57.72
1441,57.63
1442,57.2
1443,57.34
1444,57.31
1445,56.38
1446,56.42
1447,55.94
1448,56.36
1449,55.76
1450,54.29
1451,54.07
1452,54.3
1453,54.73
1454,54.29
1455,53.29
1456,49.49
1457,49.08
1458,49.04
1459,47.8
1460,47.54
1461,48.3
1462,47.33
1463,48.29
1464,48.01
1465,47.79
1466,47.77
1467,47
1468,45.75
1469,45.63
1470,43.84
1471,41.59
1472,41.86
1473,41.76
1474,44.46
1475,47.97
1476,48.5925
1477,48.8
1478,47.67
1479,50.41
1480,48.59
1481,46.42
1482,48.88
1483,48.04
1484,47.77
1485,46.87
1486,45.87
1487,45.91
1488,49.35
1489,48.27
1490,47.28
1491,47.64
1492,46.69
1493,48
1494,47.06
1495,47.28
1496,46.04
1497,47.58
1498,47.29
1499,47.48
1500,46.55
1501,49.45
1502,51.34
1503,51.66
1504,52.13
1505,52.08
1506,50.95
1507,48.94
1508,48.25
1509,47.87
1510,48.96
1511,47.51
1512,46.93
1513,46.72
1514,46.59
1515,46.3
1516,46.57
1517,45.54
1518,47.6
1519,48.04
1520,48
1521,47.91
1522,48
1523,46.96
1524,47.19
1525,46.09
1526,45.38
1527,46.44
1528,44.98
1529,44.98
1530,41.98
1531,40.28
1532,41.28
1533,41.45
1534,42.22
1535,42.49
1536,43.7
1537,44.38
1538,43.56
1539,43.55
1540,43.07
1541,43.73
1542,42.97
1543,41.92
1544,42
1545,41.44
1546,39.69
1547,39.44
1548,39.04
1549,38.65
1550,36.99
1551,36.51
1552,37.66
1553,36.96
1554,36.29
1555,36.76
1556,35.34
1557,35.26
1558,35.79
1559,37.22
1560,37.185
1561,37.08
1562,36.85
1563,35.65
1564,36.61
1565,36.5275
1566,36.28
1567,35.56
1568,33.89
1569,33.57
1570,31.67
1571,30.14
1572,29.14
1573,28.58
1574,28.84
1575,28.8
1576,27.36
1577,27.36
1578,26.01
1579,27.59
1580,30.46
1581,29.82
1582,30.94
1583,31.83
1584,33.01
1585,33.14
1586,32.45
1587,30.98
1588,32.38
1589,32.76
1590,32.35
1591,31.64
1592,30.15
1593,29.64
1594,28.82
1595,31.8
1596,31.2675
1597,31.09
1598,33.21
1599,33.2
1600,31.66
1601,33.59
1602,31.9
1603,31.5
1604,32.83
1605,35.76
1606,35.92
1607,35.73
1608,36.38
1609,35.75
1610,37.61
1611,39.02
1612,39.16
1613,40.26
1614,38.63
1615,39.41
1616,38.06
1617,37.49
1618,38.38
1619,39.29
1620,39.26
1621,39.91
1622,40.54
1623,38.84
1624,38.33
1625,38.33
1626,38.33
1627,36.75
1628,36.75
1629,36.75
1630,36.42
1631,36.05
1632,35.88
1633,37.77
1634,37.15
1635,40.71
1636,41.58
1637,43.02
1638,42.81
1639,43.02
1640,41.32
1641,41.64
1642,43.02
1643,43.09
1644,43.48
1645,43.97
1646,42.97
1647,43.94
1648,44.17
1649,45.6
1650,45.64
1651,45.82
1652,43.09
1653,43.08
1654,44.39
1655,44.6
1656,42.43
1657,44.01
1658,46.08
1659,46.43
1660,47.05
1661,48.49
1662,48.71
1663,48.93
1664,47.01
1665,48.54
1666,47.77
1667,48.42
1668,48.87
1669,49.52
1670,49.09
1671,49.2175
1672,49.26
1673,48.81
1674,49.05
1675,48.5
1676,48.94
1677,49.76
1678,50.73
1679,50.59
1680,49.7
1681,49.36
1682,47.88
1683,47.47
1684,45.66
1685,46.57
1686,48.68
1687,48.18
1688,48.43
1689,48.63
1690,46.69
1691,45.07
1692,46.29
1693,48.4
1694,48.05
1695,47.65
1696,48.02
1697,45.64
1698,45.7
1699,45.93
1700,44.53
1701,44.04
1702,46.72
1703,44.67
1704,46.01
1705,46.25
1706,45.35
1707,45.7
1708,45.82
1709,44.99
1710,44.24
1711,43.76
1712,43.56
1713,42.78
1714,41.87
1715,40.76
1716,40.17
1717,40
1718,40.45
1719,41.33
1720,42.47
1721,43.24
1722,43.37
1723,42.19
1724,44.23
1725,45.12
1726,47.31
1727,48.27
1728,48.58
1729,49.46
1730,49.39
1731,48.1
1732,48.7
1733,47.56
1734,49.25
1735,49.66
1736,49.66
1737,47.94
1738,47.94
1739,45.05
1740,45.96
1741,46.72
1742,46.21
1743,47
1744,49.23
1745,48.37
1746,47.82
1747,46.48
1748,45.65
1749,45.83
1750,45.26
1751,46.04
1752,45.24
1753,45.99
1754,47.21
1755,46.71
1756,46.61
1757,44.95
1758,45.49
1759,48.43
1760,48.24
1761,48.61
1762,48.81
1763,49.57
1764,50.14
1765,50.49
1766,51.54
1767,50.48
1768,49.53
1769,49.29
1770,48.87
1771,49.31
1772,49.81
1773,51.85
1774,50.42
1775,50.28
1776,49.8
1777,49.08
1778,48.98
1779,49.13
1780,47.78
1781,46.2
1782,45.77
1783,44.26
1784,43.84
1785,43.06
1786,42.83
1787,43.47
1788,43.88
1789,43.67
1790,41.61
1791,41.83
1792,44.15
1793,45.07
1794,44.57
1795,44.41
1796,45.96
1797,46.1
1798,46.54
1799,47.54
1800,46.32
1801,46.64
1802,44.68
1803,47.95
1804,52.28
1805,52.35
1806,53.3
1807,52.31
1808,51.9
1809,51.6
1810,52.19
1811,53.99
1812,53.28
1813,53.15
1814,51.72
1815,54.15
1816,53.53
1817,54.56
1818,53.01
1819,54.04
1820,53.93
1821,54.542
1822,54.746
1823,54.95
1824,54.97
1825,54.96
1826,55.0275
1827,55.05
1828,54.57
1829,54.99
1830,55.9
1831,54.39
1832,53.2
1833,53.61
1834,54.51
1835,54.37
1836,54.3
1837,54.68
1838,53.77
1839,53.18
1840,55.04
1841,54.8
1842,54.7
1843,54.34
1844,55.89
1845,54.8
1846,54.77
1847,55.25
1848,55.79
1849,55.94
1850,55.92
1851,55.02
1852,53.79
1853,54.42
1854,53.98
1855,55.2
1856,54.15
1857,54.96
1858,54.57
1859,54.16
1860,54.48
1861,55.25
1862,56.34
1863,54.9
1864,55.82
1865,54.69
1866,54.65
1867,53.36
1868,55.72
1869,54.16
1870,54.12
1871,54.73
1872,54.61
1873,53.3
1874,50.65
1875,50.63
1876,50.1
1877,49.6
1878,50.63
1879,50.56
1880,50.58
1881,50.67
1882,50.14
1883,49.56
1884,50.17
1885,49.97
1886,50.12
1887,50.72
1888,51.36
1889,52.25
1890,52.2
1891,52.04
1892,53.08
1893,53.41
1894,53.62
1895,54.24
1896,54.79
1897,54.73
1898,54.75
1899,55.05
1900,54.985
1901,54.79
1902,52.6
1903,52.43
1904,50.66
1905,49.93
1906,49.45
1907,49.37
1908,49.99
1909,49.46
1910,49.46
1911,50.41
1912,49.31
1913,48.82
1914,47.53
1915,47.45
1916,46.61
1917,47.06
1918,48.09
1919,49.18
1920,49.08
1921,51.29
1922,51.21
1923,51.76
1924,51.71
1925,52.78
1926,53.35
1927,53.19
1928,53.29
1929,52.25
1930,50.84
1931,52.25
1932,50.65
1933,49.4
1934,50.41
1935,48.46
1936,48.25
1937,48.11
1938,47.08
1939,46.3
1940,46.64
1941,47.18
1942,46.95
1943,45.47
1944,45.61
1945,45.7
1946,45.93
1947,43.98
1948,44.62
1949,44.46
1950,44.14
1951,44.09
1952,46.17
1953,46.45
1954,47.02
1955,47.08
1956,49.13
1957,49.15
1958,47.58
1959,48.53
1960,46.47
1961,46.57
1962,46.68
1963,46.73
1964,47.65
1965,47.89
1966,47.66
1967,47.92
1968,48.34
1969,48.54
1970,47.47
1971,47.81
1972,49.19
1973,50.08
1974,50.67
1975,52
1976,51.99
1977,50.77
1978,52.09
1979,52.88
1980,52.48
1981,51.42
1982,52.18
1983,52.16
1984,52.59
1985,51.47
1986,51.29
1987,49.9
1988,50.39
1989,50.37
1990,50.96
1991,51.94
1992,52.29
1993,52.31
1994,51.73
1995,51.87
1996,51.87
1997,51.64
1998,51.91
1999,52.69
2000,53.15
2001,52.6
2002,53.63
2003,54.48
2004,54.16
2005,54.55
2006,54.2
2007,55.06
2008,55.52
2009,56.76
2010,56.18
2011,55.5
2012,56.58
2013,57.2
2014,57.73
2015,58.16
2016,59.42
2017,59.77
2018,58.74
2019,58.8
2020,57.02
2021,55.67
2022,56.12
2023,56
2024,57.09
2025,55.5
2026,55.29
2027,56.62
2028,56.13
2029,56.13
2030,56.86
2031,57.49
2032,57.63
2033,58.05
2034,57.82
2035,57.89
2036,57.69
2037,57.84
2038,58.45
2039,58.75
2040,60.15
2041,60.65
2042,61.35
2043,60.98
2044,60.79
2045,61.42
2046,64.27
2047,64.36
2048,63.96
2049,64.49
2050,64.35
2051,62.94
2052,60.91
2053,61.25
2054,61.18
2055,61.34
2056,61.34
2057,62.28
2058,62.92
2059,63.27
2060,63.58
2061,63.25
2062,63.56
2063,63.74
2064,63.53
2065,64.57
2066,63.45
2067,63.45
2068,62.25
2069,62.37
2070,63.86
2071,65.62
2072,64.96
2073,63.66
2074,63.72
2075,63.81
2076,64.45
2077,63.69
2078,64.43
2079,64.64
2080,64.61
2081,65.462
2082,65.746
2083,66.03
2084,66.8
2085,66.73
2086,66.67
2087,66.65
2088,67.85
2089,68.73
2090,68.01
2091,68.48
2092,69.08
2093,69.79
2094,70.36
2095,69.64
2096,70.31
2097,69.4
2098,69.19
2099,69.48
2100,68.56
2101,69.32
2102,69.81
2103,69.91
2104,71.08
2105,70.08
2106,68.41
2107,67.78
2108,67.78
2109,68.6
2110,67.45
2111,67.69
2112,66.75
2113,65.74
2114,64.26
2115,63.04
2116,62.2
2117,61.94
2118,62.29
2119,62.86
2120,64.3
2121,64.95
2122,64.68
2123,64.81
2124,66.12
2125,67.04
2126,67.96
2127,67.59
